model,token,position,relative_position,seq_length,delta
ordinary_baseline,c,22,0.3728813559322034,59,0.4405035972595215
ordinary_baseline,c,23,0.3898305084745763,59,0.4405035972595215
ordinary_baseline,(,24,0.4067796610169492,59,0.3743896484375
ordinary_baseline,O,25,0.423728813559322,59,0.393157958984375
ordinary_baseline,C,26,0.4406779661016949,59,0.40873241424560547
ordinary_baseline,(,27,0.4576271186440678,59,0.4090995788574219
ordinary_baseline,=,28,0.4745762711864407,59,0.7211999893188477
ordinary_baseline,O,29,0.4915254237288136,59,0.4971585273742676
ordinary_baseline,),30,0.5084745762711864,59,0.6669406890869141
ordinary_baseline,C,31,0.5254237288135594,59,0.6268978118896484
ordinary_baseline,C,32,0.5423728813559322,59,0.6268978118896484
ordinary_baseline,C,33,0.559322033898305,59,0.6268978118896484
ordinary_baseline,C,34,0.576271186440678,59,0.6268978118896484
ordinary_baseline,C,35,0.5932203389830508,59,0.6268978118896484
ordinary_baseline,C,36,0.6101694915254238,59,0.6268978118896484
ordinary_baseline,C,37,0.6271186440677966,59,0.6268978118896484
ordinary_baseline,(,38,0.6440677966101694,59,0.6086225509643555
ordinary_baseline,[*],39,0.6610169491525424,59,0.5907440185546875
ordinary_baseline,),40,0.6779661016949152,59,0.5588364601135254
ordinary_baseline,=,41,0.6949152542372882,59,0.6187644004821777
ordinary_baseline,O,42,0.711864406779661,59,0.22927522659301758
ordinary_baseline,),43,0.7288135593220338,59,0.2614288330078125
ordinary_baseline,c,44,0.7457627118644068,59,0.2753105163574219
ordinary_baseline,c,45,0.7627118644067796,59,0.2753105163574219
ordinary_baseline,2,46,0.7796610169491526,59,0.25995731353759766
ordinary_baseline,),47,0.7966101694915254,59,0.2601432800292969
ordinary_baseline,C,48,0.8135593220338984,59,0.24037599563598633
ordinary_baseline,(,49,0.8305084745762712,59,0.21425628662109375
ordinary_baseline,=,50,0.847457627118644,59,0.27750492095947266
ordinary_baseline,O,51,0.864406779661017,59,0.19013071060180664
ordinary_baseline,),52,0.8813559322033898,59,0.18220043182373047
ordinary_baseline,O,53,0.8983050847457628,59,0.07580327987670898
ordinary_baseline,C,54,0.9152542372881356,59,0.07190990447998047
ordinary_baseline,),55,0.9322033898305084,59,0.1197819709777832
ordinary_baseline,c,56,0.9491525423728814,59,0.11585569381713867
ordinary_baseline,c,57,0.9661016949152542,59,0.11585569381713867
ordinary_baseline,1,58,0.9830508474576272,59,0.18094491958618164
ordinary_baseline,[*],0,0.0,54,0.42026185989379883
ordinary_baseline,C,1,0.018518518518518517,54,0.36994028091430664
ordinary_baseline,C,2,0.037037037037037035,54,0.36994028091430664
ordinary_baseline,O,3,0.05555555555555555,54,0.4814119338989258
ordinary_baseline,C,4,0.07407407407407407,54,0.4572415351867676
ordinary_baseline,C,5,0.09259259259259259,54,0.4572415351867676
ordinary_baseline,O,6,0.1111111111111111,54,0.301602840423584
ordinary_baseline,C,7,0.12962962962962962,54,0.2494654655456543
ordinary_baseline,C,8,0.14814814814814814,54,0.2494654655456543
ordinary_baseline,O,9,0.16666666666666666,54,0.19527649879455566
ordinary_baseline,c,10,0.18518518518518517,54,0.19394326210021973
ordinary_baseline,1,11,0.2037037037037037,54,0.34848904609680176
ordinary_baseline,c,12,0.2222222222222222,54,0.645639181137085
ordinary_baseline,c,13,0.24074074074074073,54,0.645639181137085
ordinary_baseline,c,14,0.25925925925925924,54,0.645639181137085
ordinary_baseline,c,15,0.2777777777777778,54,0.645639181137085
ordinary_baseline,(,16,0.2962962962962963,54,0.23473310470581055
ordinary_baseline,N,17,0.3148148148148148,54,0.2823760509490967
ordinary_baseline,C,18,0.3333333333333333,54,0.2525780200958252
ordinary_baseline,(,19,0.35185185185185186,54,0.27958202362060547
ordinary_baseline,=,20,0.37037037037037035,54,0.7251324653625488
ordinary_baseline,O,21,0.3888888888888889,54,0.2211604118347168
ordinary_baseline,),22,0.4074074074074074,54,0.4142014980316162
ordinary_baseline,c,23,0.42592592592592593,54,0.3922407627105713
ordinary_baseline,2,24,0.4444444444444444,54,0.3931279182434082
ordinary_baseline,c,25,0.46296296296296297,54,0.3356595039367676
ordinary_baseline,c,26,0.48148148148148145,54,0.3356595039367676
ordinary_baseline,c,27,0.5,54,0.3356595039367676
ordinary_baseline,c,28,0.5185185185185185,54,0.3356595039367676
ordinary_baseline,(,29,0.5370370370370371,54,0.243882417678833
ordinary_baseline,C,30,0.5555555555555556,54,0.3289973735809326
ordinary_baseline,(,31,0.5740740740740741,54,0.274249792098999
ordinary_baseline,=,32,0.5925925925925926,54,0.3003711700439453
ordinary_baseline,O,33,0.6111111111111112,54,0.3716161251068115
ordinary_baseline,),34,0.6296296296296297,54,0.4123871326446533
ordinary_baseline,N,35,0.6481481481481481,54,0.7092604637145996
ordinary_baseline,c,36,0.6666666666666666,54,0.8583946228027344
ordinary_baseline,3,37,0.6851851851851852,54,0.6928386688232422
ordinary_baseline,c,38,0.7037037037037037,54,0.7372317314147949
ordinary_baseline,c,39,0.7222222222222222,54,0.7372317314147949
ordinary_baseline,c,40,0.7407407407407407,54,0.7372317314147949
ordinary_baseline,c,41,0.7592592592592593,54,0.7372317314147949
ordinary_baseline,(,42,0.7777777777777778,54,0.6088206768035889
ordinary_baseline,O,43,0.7962962962962963,54,0.6865684986114502
ordinary_baseline,[*],44,0.8148148148148148,54,0.5080084800720215
ordinary_baseline,),45,0.8333333333333334,54,0.6874680519104004
ordinary_baseline,c,46,0.8518518518518519,54,0.650305986404419
