source_id,model,strategy,budget,best_drift,oracle_drift,recovery_ratio,hit
poly_2076,mixed_robust,random,5,0.055260658264160156,1.4120697975158691,0.03913450904578187,0
poly_1298,mixed_robust,random,5,0.1966245174407959,0.4840052127838135,0.40624462763507574,0
poly_1468,mixed_robust,random,5,1.019930124282837,1.0199294090270996,1.0000007012796484,1
poly_2730,mixed_robust,random,5,0.5500895977020264,1.9801347255706787,0.2778041264558347,0
poly_1609,mixed_robust,random,5,0.6665081977844238,0.6665081977844238,1.0,1
poly_1809,mixed_robust,random,5,0.49285387992858887,1.070357322692871,0.46045733464843,0
poly_3627,mixed_robust,random,5,1.414297103881836,1.4142975807189941,0.9999996628452422,1
poly_660,mixed_robust,random,5,0.646784782409668,0.783501148223877,0.8255058513645678,0
poly_1826,mixed_robust,random,5,0.9252574443817139,1.0560078620910645,0.8761842383915174,0
poly_2932,mixed_robust,random,5,1.7362332344055176,2.0819385051727295,0.8339502968467696,0
poly_442,mixed_robust,random,5,0.13994979858398438,0.9119997024536133,0.15345377658289597,0
poly_449,mixed_robust,random,5,0.4217820167541504,0.543729305267334,0.7757205886608851,0
poly_2437,mixed_robust,random,5,0.30382871627807617,1.7109131813049316,0.17758277836537725,0
poly_2772,mixed_robust,random,5,0.7277116775512695,1.0057930946350098,0.7235202562365447,0
poly_3030,mixed_robust,random,5,0.708104133605957,1.344794750213623,0.5265518276997091,0
poly_3779,mixed_robust,random,5,0.22911405563354492,1.0651602745056152,0.21509819800582236,0
poly_2836,mixed_robust,random,5,0.3791484832763672,0.8137202262878418,0.46594452371674105,0
poly_2367,mixed_robust,random,5,0.6764819622039795,1.0484952926635742,0.6451931324226166,0
poly_1211,mixed_robust,random,5,0.2020435333251953,0.4657716751098633,0.4337823532904584,0
poly_3019,mixed_robust,random,5,0.3587508201599121,1.018887996673584,0.352100349921821,0
poly_3129,mixed_robust,random,5,0.4736156463623047,1.3547296524047852,0.34960159432665255,0
poly_2068,mixed_robust,random,5,0.3468966484069824,1.6269512176513672,0.21321883818234894,0
poly_782,mixed_robust,random,5,0.022338390350341797,0.48745059967041016,0.04582698301211632,0
