source_id,type,token,position,delta
3644,clean,C,6,0.27420759201049805
3644,clean,C,7,0.27420759201049805
3644,clean,(,8,0.3946709632873535
3644,clean,[*],9,0.674170970916748
3644,clean,),10,0.4174013137817383
3644,clean,C,11,0.5028491020202637
3644,clean,(,12,0.5844268798828125
3644,clean,C,13,0.5998129844665527
3644,clean,(,14,0.5625824928283691
3644,clean,=,15,0.18982648849487305
3644,clean,O,16,0.8946309089660645
3644,clean,),17,0.7315058708190918
3644,clean,O,18,0.8491129875183105
3644,clean,C,19,0.5792136192321777
3644,clean,(,20,0.597900390625
3644,clean,C,21,0.588045597076416
3644,clean,),22,0.5512733459472656
3644,clean,(,23,0.586479663848877
3644,clean,C,24,0.590364933013916
3644,clean,),25,0.3463897705078125
3644,clean,C,26,0.35018014907836914
3644,clean,),27,0.31829261779785156
3644,clean,C,28,0.29741859436035156
3644,clean,1,29,0.14379262924194336
3644,clean,C,30,0.3554816246032715
3644,clean,(,31,0.40284061431884766
3644,clean,=,32,0.006442070007324219
3644,clean,O,33,0.2984442710876465
3644,clean,),34,0.2985038757324219
3644,clean,O,35,0.26896238327026367
3644,clean,C,36,0.1394643783569336
3644,clean,(,37,0.09575700759887695
3644,clean,C,38,0.07799291610717773
3644,clean,),39,0.23533916473388672
3644,clean,(,40,0.2695612907409668
3644,clean,C,41,0.162445068359375
3644,clean,),42,0.11945247650146484
3644,clean,C,43,0.10071659088134766
3644,mcmc_adv,[*],0,1.7068452835083008
3644,mcmc_adv,=,1,1.892831802368164
3644,mcmc_adv,C,2,0.30765438079833984
3644,mcmc_adv,C,3,0.30765438079833984
3644,mcmc_adv,1,4,0.28736162185668945
3644,mcmc_adv,C,5,0.19967365264892578
3644,mcmc_adv,C,6,0.19967365264892578
3644,mcmc_adv,(,7,0.06444787979125977
3644,mcmc_adv,[*],8,0.01641702651977539
3644,mcmc_adv,),9,0.06627559661865234
3644,mcmc_adv,C,10,0.07832670211791992
3644,mcmc_adv,(,11,0.3337383270263672
3644,mcmc_adv,C,12,0.2072610855102539
3644,mcmc_adv,(,13,0.30231618881225586
3644,mcmc_adv,=,14,0.09252071380615234
3644,mcmc_adv,O,15,0.6544058322906494
3644,mcmc_adv,),16,0.6109020709991455
3644,mcmc_adv,O,17,1.0582208633422852
3644,mcmc_adv,C,18,0.7586846351623535
3644,mcmc_adv,(,19,0.7489986419677734
3644,mcmc_adv,C,20,0.7156639099121094
3644,mcmc_adv,),21,0.8485686779022217
3644,mcmc_adv,(,22,0.8225343227386475
3644,mcmc_adv,C,23,0.8223576545715332
3644,mcmc_adv,),24,0.8900268077850342
3644,mcmc_adv,C,25,0.9562427997589111
3644,mcmc_adv,),26,1.080458641052246
3644,mcmc_adv,C,27,1.0541677474975586
3644,mcmc_adv,1,28,0.8996496200561523
3644,mcmc_adv,C,29,0.9019994735717773
3644,mcmc_adv,(,30,0.9233553409576416
3644,mcmc_adv,=,31,0.20922470092773438
3644,mcmc_adv,O,32,0.5412747859954834
3644,mcmc_adv,),33,0.5534136295318604
3644,mcmc_adv,O,34,0.47275257110595703
3644,mcmc_adv,C,35,0.2478957176208496
3644,mcmc_adv,(,36,0.4745616912841797
3644,mcmc_adv,C,37,0.33677244186401367
3644,mcmc_adv,),38,0.5317814350128174
3644,mcmc_adv,(,39,0.49677085876464844
3644,mcmc_adv,C,40,0.48508501052856445
3644,mcmc_adv,),41,0.022098064422607422
3644,mcmc_adv,C,42,0.009117603302001953
3648,clean,[*],0,0.8956723213195801
3648,clean,C,1,1.134653091430664
3648,clean,c,2,0.7159247398376465
3648,clean,1,3,0.8922624588012695
3648,clean,c,4,0.1656789779663086
3648,clean,c,5,0.1656789779663086
3648,clean,c,6,0.1656789779663086
3648,clean,(,7,0.38321495056152344
3648,clean,C,8,0.32660961151123047
3648,clean,O,9,0.24163818359375
3648,clean,C,10,0.33194780349731445
3648,clean,(,11,0.744849681854248
3648,clean,=,12,0.5104126930236816
3648,clean,O,13,0.32932281494140625
3648,clean,),14,0.23459291458129883
3648,clean,C,15,0.08751296997070312
3648,clean,C,16,0.08751296997070312
3648,clean,C,17,0.08751296997070312
3648,clean,C,18,0.08751296997070312
3648,clean,C,19,0.08751296997070312
